	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0436083	43	6	1	1	2	1	0	48	0	0	32.4904	 	0	0
UL	0.0441083	44	1	1	1	2	1	0	48	0	0	32.4814 	0	0
DL	0.0445083	44	5	1	1	2	1	0	1776	28	0	32.4814	 	0	0
UL	0.100312	100	3	1	2	2	1	0	100	0	0	32.5194 	0	0
DL	0.100708	100	7	1	1	2	1	0	48	0	0	32.5194	 	0	0
DL	0.103708	103	7	1	1	2	1	0	1776	28	0	32.5689	 	0	0
UL	0.104208	104	2	1	1	2	1	0	1776	28	0	32.4863 	0	0
DL	0.104608	104	6	1	1	2	1	0	1776	28	0	32.4863	 	0	0
DL	0.107608	107	6	1	1	2	1	0	1776	28	0	32.5993	 	0	0
UL	0.108112	108	1	1	2	2	1	0	3558	28	0	32.5022 	0	0
DL	0.108508	108	5	1	1	2	1	0	1776	28	0	32.5022	 	0	0
DL	0.111508	111	5	1	1	2	1	0	1776	28	0	32.5725	 	0	0
UL	0.112012	112	0	1	2	2	1	0	3558	28	0	32.5533 	0	0
DL	0.112408	112	4	1	1	2	1	0	1776	28	0	32.5533	 	0	0
DL	0.115408	115	4	1	1	2	1	0	1776	28	0	32.474	 	0	0
UL	0.115912	115	9	1	2	2	1	0	3558	28	0	32.474 	0	0
DL	0.116308	116	3	1	1	2	1	0	1776	28	0	32.4925	 	0	0
DL	0.119308	119	3	1	1	2	1	0	1776	28	0	32.5433	 	0	0
UL	0.119821	119	8	1	4	2	1	0	7120	28	0	32.5433 	0	0
DL	0.120208	120	2	1	1	2	1	0	1776	28	0	32.4504	 	0	0
DL	0.123208	123	2	1	1	2	1	0	1776	28	0	32.5392	 	0	0
UL	0.123729	123	7	1	6	2	1	0	10685	28	0	32.5392 	0	0
DL	0.124108	124	1	1	1	2	1	0	1776	28	0	32.5109	 	0	0
DL	0.127108	127	1	1	1	2	1	0	1776	28	0	32.5034	 	0	0
UL	0.127637	127	6	1	8	2	1	0	14247	28	0	32.5034 	0	0
DL	0.128008	128	0	1	1	2	1	0	1776	28	0	32.5546	 	0	0
DL	0.131008	131	0	1	1	2	1	0	1776	28	0	32.649	 	0	0
UL	0.13155	131	5	1	11	2	1	0	19592	28	0	32.649 	0	0
DL	0.131908	131	9	1	1	2	1	0	1776	28	0	32.649	 	0	0
DL	0.134908	134	9	1	1	2	1	0	1776	28	0	32.5071	 	0	0
UL	0.135467	135	4	1	15	2	1	0	26719	28	0	32.5659 	0	0
DL	0.135808	135	8	1	1	2	1	0	1776	28	0	32.5659	 	0	0
UL	0.136312	136	3	1	2	2	1	0	3558	28	0	32.5082 	0	0
DL	0.138808	138	8	1	1	2	1	0	1776	28	0	32.5063	 	0	0
UL	0.139392	139	3	1	21	2	1	0	37408	28	0	32.4589 	0	0
DL	0.139708	139	7	1	1	2	1	0	1776	28	0	32.4589	 	0	0
UL	0.140229	140	2	1	6	2	1	0	10685	28	0	32.5538 	0	0
DL	0.140608	140	6	1	1	2	1	0	1776	28	0	32.5538	 	0	0
DL	0.142708	142	7	1	1	2	1	0	1776	28	0	32.576	 	0	0
DL	0.142808	142	8	1	1	2	1	0	1776	28	0	32.576	 	0	0
UL	0.143229	143	2	1	6	2	1	0	10685	28	0	32.5285 	0	0
UL	0.143396	143	3	1	22	2	1	0	39187	28	0	32.5285 	0	0
UL	0.143429	143	4	1	6	2	1	0	10685	28	0	32.5285 	0	0
DL	0.143608	143	6	1	1	2	1	0	1776	28	0	32.5285	 	0	0
UL	0.14415	144	1	1	11	2	1	0	19592	28	0	32.4397 	0	0
DL	0.146608	146	6	1	1	2	1	0	1776	28	0	32.5365	 	0	0
DL	0.146708	146	7	1	1	2	1	0	1776	28	0	32.5365	 	0	0
DL	0.146808	146	8	1	1	2	1	0	1776	28	0	32.5365	 	0	0
UL	0.147146	147	1	1	10	2	1	0	17809	28	0	32.4911 	0	0
UL	0.14725	147	2	1	11	2	1	0	19592	28	0	32.4911 	0	0
UL	0.147396	147	3	1	22	2	1	0	39187	28	0	32.4911 	0	0
UL	0.147475	147	4	1	17	2	1	0	30281	28	0	32.4911 	0	0
DL	0.147508	147	5	1	1	2	1	0	1776	28	0	32.4911	 	0	0
DL	0.147708	147	7	1	1	2	1	0	1776	28	0	32.4911	 	0	0
UL	0.148079	148	0	1	18	2	1	0	32063	28	0	32.6185 	0	0
UL	0.148292	148	2	1	21	2	1	0	37408	28	0	32.6185 	0	0
DL	0.150508	150	5	1	1	2	1	0	1776	28	0	32.4727	 	0	0
DL	0.150608	150	6	1	1	2	1	0	1776	28	0	32.4727	 	0	0
DL	0.150708	150	7	1	1	2	1	0	1776	28	0	32.4727	 	0	0
DL	0.150808	150	8	1	1	2	1	0	1776	28	0	32.4727	 	0	0
UL	0.151058	151	0	1	13	2	1	0	23154	28	0	32.5098 	0	0
UL	0.151196	151	1	1	22	2	1	0	39187	28	0	32.5098 	0	0
UL	0.151296	151	2	1	22	2	1	0	39187	28	0	32.5098 	0	0
UL	0.151396	151	3	1	22	2	1	0	39187	28	0	32.5098 	0	0
DL	0.151408	151	4	1	1	2	1	0	1776	28	0	32.5098	 	0	0
UL	0.151496	151	4	2	21	2	1	0	37408	28	0	32.5098 	0	0
DL	0.151508	151	5	1	1	2	1	0	1776	28	0	32.5098	 	0	0
UL	0.151517	151	5	2	2	2	1	0	3558	28	0	32.5098 	0	0
UL	0.151892	151	8	1	21	2	1	0	37408	28	0	32.5098 	0	0
DL	0.154408	154	4	1	1	2	1	0	1776	28	0	32.6385	 	0	0
DL	0.154508	154	5	1	1	2	1	0	1776	28	0	32.6385	 	0	0
DL	0.154608	154	6	1	1	2	1	0	1776	28	0	32.6385	 	0	0
DL	0.154708	154	7	1	1	2	1	0	1776	28	0	32.6385	 	0	0
UL	0.154996	154	9	1	22	2	1	0	39187	28	0	32.6385 	0	0
UL	0.155096	155	0	1	22	2	1	0	39187	28	0	32.484 	0	0
UL	0.155196	155	1	1	22	2	1	0	39187	28	0	32.484 	0	0
DL	0.155208	155	2	1	1	2	1	0	1776	28	0	32.484	 	0	0
UL	0.155296	155	2	2	21	2	1	0	37408	28	0	32.484 	0	0
DL	0.155308	155	3	1	1	2	1	0	1776	28	0	32.484	 	0	0
UL	0.155396	155	3	2	21	2	1	0	37408	28	0	32.484 	0	0
UL	0.155496	155	4	1	22	2	1	0	39187	28	0	32.484 	0	0
